titre,sous_titre,description,cat,sous_cat,link,link_title,lieu,img,img_alt,date
Olivier MESSIAEN,,"Profondément croyant, Olivier Messiaen (1908-1992) insuffle à ses œuvres un caractère religieux, mêlé à son amour des chants d’oiseaux et son goût pour la rythmique hindoue et la métrique grecque.",,,./0038929-biographie-olivier-messiaen.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Messiaen-Olivier/Olivier-Messiaen-au-piano©Osterreichische-Nationalbibliothek_LQ.jpg,Olivier Messiaen au piano © Österreichische Nationalbibliothek,1908-1992
Claudio MONTEVERDI,,"Entre Renaissance et baroque, Claudio Monteverdi (1567-1643) mène la quête d’une union parfaite entre poésie et musique, qui le conduira jusqu’à l’opéra dont il est l’un des fondateurs.",,,./0039773-biographie-claudio-monteverdi.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Monteverdi-Claudio/Portrait-de-Monteverdi-par-Bernardo-Strozzi-1640©Tyrolean-State-Museum-Ferdinandeum-Autriche_LQ.jpg,"Portrait de Monteverdi par Bernardo Strozzi, 1640 © Tyrolean State Museum Ferdinandeum, Autriche",1567-1643
Modest MOUSSORGSKI,,"Membre du groupe des Cinq, souhaitant porter haut les couleurs de la musique russe, Modest Moussorgski (1839-1881) meurt à seulement 42 ans en laissant de nombreuses œuvres inachevées.",,,./0035239-modest-moussorgski.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Moussorgski-Modeste/Modest-Moussorgski-par-Ilya-Repin-1881-Tretyakov-Gallery-Moscou_350.jpg,"Carel L. Dake, Wolfgang Amadeus Mozart © Philharmonie de Paris",1839-1881
Wolfgang Amadeus MOZART,,"Compositeur de génie, Wolfgang Amadeus Mozart (1756-1791) aborde tous les genres musicaux. Nombre de ses compositions sont des chefs-d’œuvre, en particulier dans le genre de l’opéra qu’il transcende.",,,./0055853-biographie-wolfgang-amadeus-mozart.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs\Mozart-Wolfgang-Amadeus\Wolfgang-Amadeus-Mozart-Carel-L-Dake©Philharmonie-de-Paris_LQ.jpg,"Carel L. Dake, Wolfgang Amadeus Mozart © Philharmonie de Paris",1756-1791
Jacques OFFENBACH,,"Jacques Offenbach (1819-1880) consacre sa carrière de compositeur essentiellement à la musique de scène, collaborant pour de nombreuses œuvres avec le librettiste Ludovic Halévy.",,,./0055829-biographie-jacques-offenbach.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Offenbach-Jacques/Nadar-Jacques-Offenbach©Gallica-Bnf_LQ.jpg,Jacques Offenbach par Nadar © Gallica Bnf,1819-1880
Giovanni Battista PERGOLESI,,"Disparu trop tôt du fait d’une santé fragile, Giovanni Battista Pergolesi laissera néanmoins quelques chefs-d’œuvre tels que son intermezzo La Serva Padrona et son Stabat Mater.",,,./1092582-biographie-giovanni-battista-pergolesi.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/pergolesi-giovanni-battista/portrait-giovanni-battista-pergolesi-conservatorio-di-san-pietro-a-majella-naples_350.jpg,Portrait de Giovanni Battista Pergolesi. Source : Conservatoire San Pietro a Majella de Naples,1710-1736
Gérard PESSON,,Gérard Pesson (1958-) intègre transcriptions et citations musicales au sein de ses œuvres. Il multiplie également les références aux sources extra-musicales telles que la littérature et la peinture.,,,./0040442-biographie-gerard-pesson.aspx,,,/ui/skins/MEDIA/images/picto-pages-decouverte-artiste.svg,Gérard Pesson © C. Daguet / Éditions Henry Lemoine,1958-
Sergueï PROKOFIEV,,"Sergueï Prokofiev (1891-1953) compose des œuvres puissantes et fougueuses à l’image de son jeu pianistique. L’écriture, au langage audacieux parfois dissonant, alterne passages percussifs et lyrisme.",,,./0036697-biographie-serguei-prokofiev.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Prokofiev-Serguei/Sergei-Prokofiev©Library-of-congress_LQ.jpg,Serguei Prokofiev © Library of congress,1891-1953
Henry PURCELL,,"Particulièrement habile à mettre en musique la langue anglaise, Henry Purcell (1659-1695) devient le principal artisan de la création d’un opéra spécifiquement anglais : le semi-opera.",,,./0035234-biographie-henry-purcell.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Purcell-Henry/Henry-Purcell-dapres-John-Closterman-vers-1695-National-Portrait-Gallery-London_350.jpg,"Henry Purcell, d’après John Closterman, vers 1695. National Portrait Gallery, London CC BY-NC-ND 3.0",1659-1695
Henri RABAUD,,"Compositeur et chef d’orchestre, lauréat du prix de Rome, Henri Rabaud (1873-1949) est un musicien respecté qui bénéficie de la reconnaissance des institutions artistiques officielles.",,,./0036326-biographie-henri-rabaud.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Rabaud-henri/Henri-Rabaud-1900©Library-of-Congress_LQ.jpg,"Portrait de Henri Rabaud, 1900 © Library of Congress",1873-1949
